role,reference_variant,public_model_name,dataset_path,cutoff_date,model_path,metadata_path,parity_status,accuracy,balanced_accuracy,f1_pos,top1_hit,top2_hit,coverage,test_events
baseline,LR_smote_0.5,LR_smote_0.5_public,data/public/dataset_modelo_proveedor_v2_candidates.csv,2028-02-21,models/public/baseline/model.pkl,models/public/baseline/metadata.json,PASS,0.8874448494149242,0.8650843671482551,0.6520385470719051,0.7645271553361185,0.858336498290923,1.0,2633
champion_pure,V2_TRANSPORT_ONLY_LIGHTGBM_CLASS_WEIGHT_BALANCED_v1,V2_TRANSPORT_ONLY_LIGHTGBM_CLASS_WEIGHT_BALANCED_v1_public,data/public/day041/dataset_modelo_v2_transport_only.csv,2028-02-21,models/public/champion_pure/model.pkl,models/public/champion_pure/metadata.json,PASS,0.9006809898331095,0.8814313704926142,0.6851147939790178,0.7725028484618306,0.8826433725788074,1.0,2633
