run_id,policy_variant,family,target_metric,target_metric_awarded,promotion_eligible,fallback_source,events,selected_events,selected_share,top1_hit,top2_hit,coverage,coherence_before,coherence_after,coherence_delta,overrides_count,overrides_improved,overrides_harmed,overrides_neutral,delta_top1_vs_champion,delta_top2_vs_champion,delta_top1_vs_operational,delta_top2_vs_operational,delta_top1_vs_baseline,delta_top2_vs_baseline,gate_pass,decision_label,material_improvement_ok,non_target_ok_vs_operational,coverage_ok_vs_operational,coverage_ok_vs_champion,top2_ok_vs_champion,coherence_ok,overrides_harmed_ok,selected_events_ok,effective_override_ok,failure_reason,selected_source_counts,improves_top1_vs_pure_champion,harms_top1_vs_pure_champion,same_top1_vs_pure_champion,improves_top2_vs_pure_champion,harms_top2_vs_pure_champion,same_top2_vs_pure_champion,improves_top1_vs_operational_policy_reference,harms_top1_vs_operational_policy_reference,same_top1_vs_operational_policy_reference,improves_top2_vs_operational_policy_reference,harms_top2_vs_operational_policy_reference,same_top2_vs_operational_policy_reference
20260310T132832Z,day054b_go_b_residual_SUPPLIER_050_clean_v1,day054b_residual_probe,top1_hit,top1_hit,False,baseline,2633,26,0.009874667679453095,0.777060387390809,0.8826433725788074,1.0,0.9205479452054794,0.9178082191780822,-0.002739726027397249,26,19,7,2607,0.004557538928978366,0.0,-0.01253323205469048,0.022407899734143588,0.01253323205469048,0.024306874287884472,False,diagnostic_only,False,False,False,False,False,False,False,True,True,diagnostic_only,"{'pure_champion': 2607, 'baseline': 26}",19,7,2607,0,0,2633,64,97,2472,132,73,2428
20260310T132832Z,day054b_go_b_residual_SUPPLIER_019_low_conf_v1,day054b_residual_probe,top1_hit,top1_hit,False,baseline,2633,9,0.003418154196733764,0.7759210026585643,0.8826433725788074,1.0,0.9205479452054794,0.9315068493150684,0.010958904109588996,9,9,0,2624,0.003418154196733747,0.0,-0.013672616786935099,0.022407899734143588,0.01139384732244586,0.024306874287884472,False,diagnostic_only,False,False,False,False,False,True,True,True,True,diagnostic_only,"{'pure_champion': 2624, 'baseline': 9}",9,0,2624,0,0,2633,71,107,2455,132,73,2428
20260310T132832Z,day054b_go_b_residual_outer_terminal_extension_v1,day054b_residual_probe,top1_hit,top1_hit,False,baseline,2633,10,0.0037979491074819596,0.7763007975693126,0.8834029624003038,1.0,0.9205479452054794,0.9123287671232877,-0.008219178082191747,10,10,0,2623,0.0037979491074819904,0.0007595898214963759,-0.013292821876186856,0.023167489555639964,0.011773642233194104,0.025066464109380848,False,diagnostic_only,False,False,False,False,False,False,True,True,True,diagnostic_only,"{'pure_champion': 2623, 'baseline': 10}",10,0,2623,2,0,2631,71,106,2456,132,71,2430
20260310T132832Z,day054b_composite_go_c_plus_go_b_dominant_plus_residual_precision_v1,day054b_composite,composite_topk,top2_hit,True,baseline,2633,464,0.17622483858716292,0.7914925939992404,0.8906190657045195,1.0,0.9205479452054794,0.9205479452054794,0.0,64,57,7,2569,0.01898974553740984,0.007975693125712113,0.0018989745537409952,0.0303835928598557,0.026965438663121954,0.032282567413596586,False,reject,True,True,True,True,True,True,False,True,True,champion_guardrail_fail,"{'pure_champion': 2169, 'baseline': 464}",57,7,2569,34,13,2586,64,59,2510,119,39,2475
