fecha_raw,source_file
2019-10-19,SOURCE_06E4F1EB99B7
2019-10-19,SOURCE_06E4F1EB99B7
2019-10-19,SOURCE_06E4F1EB99B7
2019-10-19,SOURCE_06E4F1EB99B7
2019-10-19,SOURCE_06E4F1EB99B7
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-20,SOURCE_29ECEFAF2C23
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-21,SOURCE_0B96BD76D3AF
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-22,SOURCE_A7D5C90DC019
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
