fecha_evento,albaran_id,eventos_total,eventos_override,coherence_before,coherence_after,policy_applied,policy_reason,run_id,ts_utc
2028-03-13,AE 248,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 249,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 250,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 252,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 253,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 254,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 255,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 256,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 257,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 259,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 260,2,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-15,AE 261,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-15,AE 262,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-15,AE 263,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-15,AE 264,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-18,AE 265,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-18,AE 266,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-18,AE 267,3,2,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-19,AE 272,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-19,AE 273,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-19,AE 274,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-20,AE 275,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-20,AE 276,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-20,AE 279,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-21,AE 278,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-21,AE 280,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-21,AE 281,2,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-21,AE 282,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-21,AE 283,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 284,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 285,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 286,4,3,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 287,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 288,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 289,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 290,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 291,3,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 292,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 293,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-22,AE 294,5,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-25,AE 295,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
