run_id,day_id,model_variant,model_role,dataset_name,dataset_snapshot_hash,cutoff_date,test_events,accuracy,balanced_accuracy,f1_pos,top1_hit,top2_hit,coverage,delta_top2_vs_baseline,delta_bal_acc_vs_baseline,delta_coverage_vs_baseline,gate_top2_ok,gate_bal_acc_ok,gate_coverage_ok,gate_pass,promotion_decision,selection_rule,model_path,metadata_path,metrics_source,created_at_utc
20260304T120000Z,Day 02,LR_smote_0.5,baseline,dataset_modelo_proveedor_v2_candidates.csv,de46fcc2bb6a601fb62af9ffb5b23528d3aaedf2306bd3fd5b28268a15087d5f,2028-02-21,2633,0.909505,0.861463,0.689893,0.772123,0.862894,1.000000,0.000000,0.000000,0.000000,,,,,keep_baseline,top2_hit DESC -> test_bal_acc DESC -> test_f1_pos DESC,./models/public/baseline/model.pkl,./models/public/baseline/metadata.json,./artifacts/public/metrics/baseline/20260304_baseline_metrics.json,2026-03-04T13:08:07.310110+00:00
20260305T160207Z,Day 03,BASELINE_WITH_DETERMINISTIC_LAYER_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009_v1,candidate,dataset_modelo_proveedor_v2_candidates.csv,de46fcc2bb6a601fb62af9ffb5b23528d3aaedf2306bd3fd5b28268a15087d5f,2028-02-21,2633,0.909505,0.861463,0.689893,0.788834,0.862894,1.000000,0.000000,0.000000,0.000000,true,true,true,true,promote,policy_gate(top1>baseline & top2>=baseline & bal_acc>=baseline & coverage>=baseline-0.005 & coherence_after>=before & overrides_harmed==0),./models/public/baseline/model.pkl,./models/public/baseline/metadata.json,./artifacts/public/metrics/candidates/20260305/20260305T160207Z_BASELINE_WITH_DETERMINISTIC_LAYER_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009_v1_metrics.json,2026-03-05T16:02:12.642552+00:00
20260306T084542Z,Day 04,V3_A_LR_smote_0.5_v1,candidate,dataset_modelo_proveedor_v3_context.csv,b13d9f5b5fd519ecbf891a64fbc2b726152d490177991144fc06826d094e38a1,2028-02-21,2633,0.886725,0.852651,0.642771,0.739840,0.852640,1.000000,-0.010254,-0.008812,0.000000,false,false,true,false,keep_baseline,fixed_recipe(LR_smote_0.5 on V3_A) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day04_v3_a_lr_smote_0_5_v1/20260306T084542Z/model.pkl,./models/candidates/day04_v3_a_lr_smote_0_5_v1/20260306T084542Z/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T084542Z_V3_A_LR_smote_0.5_v1_metrics.json,2026-03-06T08:45:45.670750+00:00
20260306T084542Z,Day 04,V3_A_WITH_DETERMINISTIC_LAYER_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009_v1,candidate,dataset_modelo_proveedor_v3_context.csv,b13d9f5b5fd519ecbf891a64fbc2b726152d490177991144fc06826d094e38a1,2028-02-21,2633,0.886725,0.852651,0.642771,0.766046,0.856817,1.000000,-0.006077,-0.008812,0.000000,false,false,true,false,keep_baseline,policy_gate(top1>baseline & top2>=baseline & bal_acc>=baseline & coverage>=baseline-0.005 & coherence_after>=before & overrides_harmed==0),./models/candidates/day04_v3_a_lr_smote_0_5_v1/20260306T084542Z/model.pkl,./models/candidates/day04_v3_a_lr_smote_0_5_v1/20260306T084542Z/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T084542Z_V3_A_WITH_DETERMINISTIC_LAYER_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009_v1_metrics.json,2026-03-06T08:47:10.069843+00:00
20260306T095152Z,Day 04.1,V2_SOURCE_QUALITY_LR_smote_0.5_v1,candidate,dataset_modelo_v2_source_quality.csv,b1888c212d9384782957da5c382252ee6e03fb55ab68c56092ed1809e7c88cd6,2028-02-21,2633,0.880635,0.854527,0.634240,0.762248,0.856817,1.000000,-0.006077,-0.006936,0.000000,false,false,true,false,keep_baseline,fixed_recipe(LR_smote_0.5 on V2_SOURCE_QUALITY_LR_smote_0.5_v1) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day041_ablation/v2_source_quality_lr_smote_0_5_v1/20260306T095152Z/model.pkl,./models/candidates/day041_ablation/v2_source_quality_lr_smote_0_5_v1/20260306T095152Z/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T095152Z_V2_SOURCE_QUALITY_LR_smote_0.5_v1_metrics.json,2026-03-06T09:51:55.355882+00:00
20260306T095152Z,Day 04.1,V2_DISPERSION_LR_smote_0.5_v1,candidate,dataset_modelo_v2_dispersion.csv,b1ecc87ef75e1610386e4dbeac8263b0d18c86b5ad02b736fe1d7ea1a8a5f909,2028-02-21,2633,0.887013,0.864837,0.651170,0.764527,0.857197,1.000000,-0.005697,0.003374,0.000000,false,false,true,false,keep_baseline,fixed_recipe(LR_smote_0.5 on V2_DISPERSION_LR_smote_0.5_v1) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day041_ablation/v2_dispersion_lr_smote_0_5_v1/20260306T095152Z/model.pkl,./models/candidates/day041_ablation/v2_dispersion_lr_smote_0_5_v1/20260306T095152Z/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T095152Z_V2_DISPERSION_LR_smote_0.5_v1_metrics.json,2026-03-06T09:51:58.257409+00:00
20260306T095152Z,Day 04.1,V2_COMPETITION_LR_smote_0.5_v1,candidate,dataset_modelo_v2_competition.csv,91bd5bdbffb310ce792a7c20643b65ac5f7c6eb4d3fb98bd5bae2eea6c298ea3,2028-02-21,2633,0.895646,0.866691,0.667075,0.763768,0.854539,1.000000,-0.008355,0.005228,0.000000,false,false,true,false,keep_baseline,fixed_recipe(LR_smote_0.5 on V2_COMPETITION_LR_smote_0.5_v1) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day041_ablation/v2_competition_lr_smote_0_5_v1/20260306T095152Z/model.pkl,./models/candidates/day041_ablation/v2_competition_lr_smote_0_5_v1/20260306T095152Z/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T095152Z_V2_COMPETITION_LR_smote_0.5_v1_metrics.json,2026-03-06T09:52:01.438485+00:00
20260306T095152Z,Day 04.1,V2_DISPERSION_LR_smote_0.5_WITH_DETERMINISTIC_LAYER_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009_v1,candidate,dataset_modelo_v2_dispersion.csv,b1ecc87ef75e1610386e4dbeac8263b0d18c86b5ad02b736fe1d7ea1a8a5f909,2028-02-21,2633,0.887013,0.864837,0.651170,0.786935,0.857197,1.000000,-0.005697,0.003374,0.000000,false,true,true,false,keep_baseline,policy_gate(top1>baseline & top2>=baseline & bal_acc>=baseline & coverage>=baseline-0.005 & coherence_after>=before & overrides_harmed==0),./models/candidates/day041_ablation/v2_dispersion_lr_smote_0_5_v1/20260306T095152Z/model.pkl,./models/candidates/day041_ablation/v2_dispersion_lr_smote_0_5_v1/20260306T095152Z/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T095152Z_V2_DISPERSION_LR_smote_0.5_WITH_DETERMINISTIC_LAYER_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009_v1_metrics.json,2026-03-06T09:52:07.512463+00:00
