run_id,day_id,model_variant,model_role,dataset_name,dataset_snapshot_hash,cutoff_date,test_events,accuracy,balanced_accuracy,f1_pos,top1_hit,top2_hit,coverage,delta_top2_vs_baseline,delta_bal_acc_vs_baseline,delta_coverage_vs_baseline,gate_top2_ok,gate_bal_acc_ok,gate_coverage_ok,gate_pass,promotion_decision,selection_rule,model_path,metadata_path,metrics_source,created_at_utc
20260306T_day04_rerun_day043_train,Day 04.3,V2_TRANSPORT_CARRY30D_ONLY_LR_smote_0.5_WITH_DETERMINISTIC_LAYER_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009_v1,candidate,dataset_modelo_v2_transport_carry30d_only.csv,962ab46e4b9515664c3f6dc8766b296fe33a45320b13f225d494675fd5ead628,2028-02-21,2633,0.890802,0.864081,0.657027,0.787315,0.862514,1.000000,0.004178,-0.001003,0.000000,true,false,true,false,keep_baseline,policy_gate(top1>baseline & top2>=baseline & bal_acc>=baseline & coverage>=baseline-0.005 & coherence_after>=before & overrides_harmed==0),./models/candidates/day043_transport/v2_transport_carry30d_only_lr_smote_0_5_v1/20260306T_day04_rerun_day043_train/model.pkl,./models/candidates/day043_transport/v2_transport_carry30d_only_lr_smote_0_5_v1/20260306T_day04_rerun_day043_train/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day04_rerun_day043_train_V2_TRANSPORT_CARRY30D_ONLY_LR_smote_0.5_WITH_DETERMINISTIC_LAYER_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009_v1_metrics.json,2026-03-06T12:29:23.841449+00:00
20260306T_day05_run01,Day 05,V2_CATBOOST_v1,candidate,dataset_modelo_proveedor_v2_candidates.csv,aac4bad75b3b24c390c624be08b00d86534bf15b58ebce47e72bae813c0f6454,2028-02-21,2633,0.924995,0.775942,0.660000,0.715154,0.856058,1.000000,-0.002278,-0.089142,0.000000,false,false,true,false,keep_baseline,day05_phase1_base(CATBOOST on V2) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_catboost_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_catboost_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_CATBOOST_v1_metrics.json,2026-03-06T15:13:41.516760+00:00
20260306T_day05_run01,Day 05,V2_LIGHTGBM_v1,candidate,dataset_modelo_proveedor_v2_candidates.csv,aac4bad75b3b24c390c624be08b00d86534bf15b58ebce47e72bae813c0f6454,2028-02-21,2633,0.923173,0.743546,0.623236,0.762628,0.871629,1.000000,0.013293,-0.121538,0.000000,true,false,true,false,keep_baseline,day05_phase1_base(LIGHTGBM on V2) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_lightgbm_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_lightgbm_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_LIGHTGBM_v1_metrics.json,2026-03-06T15:13:45.632434+00:00
20260306T_day05_run01,Day 05,V2_XGBOOST_v1,candidate,dataset_modelo_proveedor_v2_candidates.csv,aac4bad75b3b24c390c624be08b00d86534bf15b58ebce47e72bae813c0f6454,2028-02-21,2633,0.924324,0.770684,0.653491,0.754273,0.874288,1.000000,0.015952,-0.094400,0.000000,true,false,true,false,keep_baseline,day05_phase1_base(XGBOOST on V2) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_xgboost_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_xgboost_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_XGBOOST_v1_metrics.json,2026-03-06T15:13:49.074614+00:00
20260306T_day05_run01,Day 05,V2_TRANSPORT_ONLY_CATBOOST_v1,candidate,dataset_modelo_v2_transport_only.csv,3a2fe657f7b5c5fe73797b74cb9aafc7911090248711b747eb570ff86a2c2c68,2028-02-21,2633,0.924468,0.769142,0.652395,0.732245,0.862514,1.000000,0.004178,-0.095942,0.000000,false,false,true,false,keep_baseline,day05_phase1_base(CATBOOST on V2_TRANSPORT_ONLY) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_transport_only_catboost_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_transport_only_catboost_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_TRANSPORT_ONLY_CATBOOST_v1_metrics.json,2026-03-06T15:14:11.826932+00:00
20260306T_day05_run01,Day 05,V2_TRANSPORT_ONLY_LIGHTGBM_v1,candidate,dataset_modelo_v2_transport_only.csv,3a2fe657f7b5c5fe73797b74cb9aafc7911090248711b747eb570ff86a2c2c68,2028-02-21,2633,0.920200,0.739570,0.611759,0.737182,0.880744,1.000000,0.022408,-0.125514,0.000000,true,false,true,false,keep_baseline,day05_phase1_base(LIGHTGBM on V2_TRANSPORT_ONLY) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_transport_only_lightgbm_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_transport_only_lightgbm_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_TRANSPORT_ONLY_LIGHTGBM_v1_metrics.json,2026-03-06T15:14:15.917403+00:00
20260306T_day05_run01,Day 05,V2_TRANSPORT_ONLY_XGBOOST_v1,candidate,dataset_modelo_v2_transport_only.csv,3a2fe657f7b5c5fe73797b74cb9aafc7911090248711b747eb570ff86a2c2c68,2028-02-21,2633,0.921111,0.737817,0.611937,0.763388,0.882264,1.000000,0.023928,-0.127267,0.000000,true,false,true,false,keep_baseline,day05_phase1_base(XGBOOST on V2_TRANSPORT_ONLY) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_transport_only_xgboost_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_transport_only_xgboost_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_TRANSPORT_ONLY_XGBOOST_v1_metrics.json,2026-03-06T15:14:22.260556+00:00
20260306T_day05_run01,Day 05,V2_DISPERSION_CATBOOST_v1,candidate,dataset_modelo_v2_dispersion.csv,da5d9d6c41e066a4a7db0cff2f871aca212546d265937cd23e7822d3a8329381,2028-02-21,2633,0.916411,0.720831,0.581110,0.728447,0.856438,1.000000,-0.001898,-0.144253,0.000000,false,false,true,false,keep_baseline,day05_phase1_base(CATBOOST on V2_DISPERSION) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_dispersion_catboost_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_dispersion_catboost_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_DISPERSION_CATBOOST_v1_metrics.json,2026-03-06T15:14:46.546554+00:00
20260306T_day05_run01,Day 05,V2_DISPERSION_LIGHTGBM_v1,candidate,dataset_modelo_v2_dispersion.csv,da5d9d6c41e066a4a7db0cff2f871aca212546d265937cd23e7822d3a8329381,2028-02-21,2633,0.915548,0.715301,0.572261,0.770604,0.868591,1.000000,0.010255,-0.149783,0.000000,true,false,true,false,keep_baseline,day05_phase1_base(LIGHTGBM on V2_DISPERSION) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_dispersion_lightgbm_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_dispersion_lightgbm_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_DISPERSION_LIGHTGBM_v1_metrics.json,2026-03-06T15:14:50.603605+00:00
20260306T_day05_run01,Day 05,V2_DISPERSION_XGBOOST_v1,candidate,dataset_modelo_v2_dispersion.csv,da5d9d6c41e066a4a7db0cff2f871aca212546d265937cd23e7822d3a8329381,2028-02-21,2633,0.916555,0.721564,0.582333,0.753513,0.884922,1.000000,0.026586,-0.143520,0.000000,true,false,true,false,keep_baseline,day05_phase1_base(XGBOOST on V2_DISPERSION) -> registry_gate(top2>=baseline+0.01 & bal_acc>=baseline+0.01 & coverage>=baseline-0.005),./models/candidates/day05_tabular/v2_dispersion_xgboost_v1/20260306T_day05_run01/model.pkl,./models/candidates/day05_tabular/v2_dispersion_xgboost_v1/20260306T_day05_run01/metadata.json,./artifacts/public/metrics/candidates/20260306/20260306T_day05_run01_V2_DISPERSION_XGBOOST_v1_metrics.json,2026-03-06T15:14:53.275506+00:00
