run_id,cutoff_date,dataset_alias,dataset_path,lr_equivalent_variant,model_family,model_variant,variant_stage,balance_tag,accuracy,balanced_accuracy,f1_pos,top1_hit,top2_hit,coverage,test_events,search_log_path,delta_top2_vs_baseline,delta_bal_acc_vs_baseline,delta_coverage_vs_baseline,gate_top2_ok,gate_bal_acc_ok,gate_coverage_ok,gate_pass,promotion_decision,delta_top2_vs_lr_equivalente,delta_bal_acc_vs_lr_equivalente,delta_coverage_vs_lr_equivalente,eligible_primary_phase2,eligible_secondary_phase2,eligible_phase2,eligible_phase3,eligible_policy_check,day05_unbalanced_variant,delta_top2_vs_day05_unbalanced,delta_bal_acc_vs_day05_unbalanced,delta_coverage_vs_day05_unbalanced,defendible,almost_gate,selected_for_phase2,selected_for_phase3,followup_decision
20260306T_day05_run02,2028-02-21,V2_TRANSPORT_ONLY,./data/public/day041/dataset_modelo_v2_transport_only.csv,V2_TRANSPORT_ONLY_LR_smote_0.5_v1,LIGHTGBM,V2_TRANSPORT_ONLY_LIGHTGBM_CLASS_WEIGHT_BALANCED_v1,phase1_balanced_native,NATIVE_BALANCED,0.9006809898331095,0.8814313704926142,0.6851147939790178,0.7725028484618306,0.8826433725788074,1.0,2633,,0.02430737257880744,0.016347370492614255,0.0,True,True,True,True,promote,0.022408372578807456,0.015584370492614186,0.0,True,True,True,True,True,V2_TRANSPORT_ONLY_LIGHTGBM_v1,0.0018993725788074567,0.14186137049261427,0.0,True,False,False,False,promoted_pure_model_open_short_tuning
20260306T_day05_run02,2028-02-21,V2,./data/public/dataset_modelo_proveedor_v2_candidates.csv,LR_smote_0.5,LIGHTGBM,V2_LIGHTGBM_CLASS_WEIGHT_BALANCED_v1,phase1_balanced_native,NATIVE_BALANCED,0.8953098024170343,0.8742963167856863,0.6711854194908872,0.7485757690846943,0.8890998860615268,1.0,2633,,0.0307638860615268,0.009212316785686347,0.0,True,False,True,False,keep_baseline,0.0307638860615268,0.009212316785686347,0.0,True,True,True,True,False,V2_LIGHTGBM_v1,0.017470886061526802,0.13075031678568627,0.0,False,True,False,False,consider_future_tuning_or_resampling
20260306T_day05_run02,2028-02-21,V2_TRANSPORT_CARRY30D_ONLY,./data/public/day043/dataset_modelo_v2_transport_carry30d_only.csv,V2_TRANSPORT_CARRY30D_ONLY_LR_smote_0.5_v1,LIGHTGBM,V2_TRANSPORT_CARRY30D_ONLY_LIGHTGBM_CLASS_WEIGHT_BALANCED_v1,phase1_balanced_native,NATIVE_BALANCED,0.8981872242470746,0.8738310529066047,0.6760262475202198,0.7649069502468667,0.8909988606152678,1.0,2633,,0.0326628606152678,0.008747052906604713,0.0,True,False,True,False,keep_baseline,0.028484860615267782,0.00975005290660469,0.0,True,True,True,True,False,V2_TRANSPORT_CARRY30D_ONLY_LIGHTGBM_v1,0.007975860615267782,0.12538705290660468,0.0,False,True,False,False,consider_future_tuning_or_resampling
20260306T_day05_run02,2028-02-21,V2,./data/public/dataset_modelo_proveedor_v2_candidates.csv,LR_smote_0.5,XGBOOST,V2_XGBOOST_SCALE_POS_WEIGHT_v1,phase1_balanced_native,NATIVE_BALANCED,0.8675426817571456,0.8697780623130067,0.624626257135091,0.7443980250664641,0.8761868590960881,1.0,2633,,0.01785085909608808,0.0046940623130067305,0.0,True,False,True,False,keep_baseline,0.01785085909608808,0.0046940623130067305,0.0,True,True,True,True,False,V2_XGBOOST_v1,0.0018988590960881124,0.09909406231300666,0.0,False,True,False,False,consider_future_tuning_or_resampling
20260306T_day05_run02,2028-02-21,V2_TRANSPORT_CARRY30D_ONLY,./data/public/day043/dataset_modelo_v2_transport_carry30d_only.csv,V2_TRANSPORT_CARRY30D_ONLY_LR_smote_0.5_v1,XGBOOST,V2_TRANSPORT_CARRY30D_ONLY_XGBOOST_SCALE_POS_WEIGHT_v1,phase1_balanced_native,NATIVE_BALANCED,0.8759351620947631,0.8674327833988911,0.6353770260747005,0.7462969996202051,0.8693505507026206,1.0,2633,,0.011014550702620585,0.0023487833988911078,0.0,True,False,True,False,keep_baseline,0.00683655070262057,0.003351783398891084,0.0,True,True,True,True,False,V2_TRANSPORT_CARRY30D_ONLY_XGBOOST_v1,-0.015571449297379414,0.1146847833988911,0.0,False,False,False,False,close_tabular
20260306T_day05_run02,2028-02-21,V2_TRANSPORT_ONLY,./data/public/day041/dataset_modelo_v2_transport_only.csv,V2_TRANSPORT_ONLY_LR_smote_0.5_v1,XGBOOST,V2_TRANSPORT_ONLY_XGBOOST_SCALE_POS_WEIGHT_v1,phase1_balanced_native,NATIVE_BALANCED,0.8740168808747363,0.8635733174802989,0.6300521053372764,0.7352829472085074,0.8689707557918724,1.0,2633,,0.010634755791872452,-0.001510682519701101,0.0,True,False,True,False,keep_baseline,0.008735755791872468,-0.00227368251970117,0.0,True,True,True,True,False,V2_TRANSPORT_ONLY_XGBOOST_v1,-0.013293244208127608,0.12575631748029892,0.0,False,False,False,False,close_tabular
